" ","VGCPastes Repository (Champions M-A Featured Teams!)","","","","","","","","","","","","","","","","","","","","","","326","","","","","Total Creator Count: ","243","","","Teams with Rentals: ","169","","","","","Teams included here:
International/Regional: Day 2
Local: Top 4
Special Online Tour: Top Cut","","Ladder: Top 300 Champions Tier (End of season), Top 100 Peak
Online Tour (200+ Players): Top 16
Online Tour (100+ Players): Top 8
Online Tour: Top 4
","","","","","",""
"PC1011","In Person Event","Patrick Dillon's Indianapolis Regional 2026 Top 16 Team","","Patrick Dillon","","","","Floettite","","","Tyranitarite","","","Chople Berry","","","Leftovers","","","Focus Sash","","","Sitrus Berry","","https://pokepast.es/3b7f84a6c5dd7601","No","Extracted","X","None","1 Jun 2026","Indianapolis Regional 2026","16th","No Tweet","-","https://victoryroad.pro/2026-indianapolis/","Manual Entry","","Floette-Eternal-Mega","Tyranitar-Mega","Incineroar","Rotom-Wash","Excadrill","Sinistcha","","",""
"PC1010","In Person Event","JoeyPokeaim's Indianapolis Regional 2026 Top 32 Team","","JoeyPokeaim","","","","Aerodactylite","","","Scovillainite","","","Choice Scarf","","","Focus Sash","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/d099bec8aff70885","Yes","Extracted","X","None","2 Jun 2026","Indianapolis Regional 2026","18th","https://youtu.be/lTa8Ax2zn9Y?si=zHrgGvUduDavQrQj","-","https://victoryroad.pro/2026-indianapolis/","joeypokeaim","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC1009","In Person Event","45mice's Indianapolis Regional 2026 Top 64 Team","","Justin Knox","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Roseli Berry","","https://pokepast.es/5544728fd7f573c0","Yes","Owner's","X","None","5 Jun 2026","Indianapolis Regional 2026","34th","https://x.com/45mice/status/2062893961128083923?s=46","-","https://victoryroad.pro/2026-indianapolis/","45mice","","Floette-Eternal-Mega","Charizard","Kleavor","Whimsicott","Kingambit","Garchomp","","",""
"PC1008","In Person Event","luckysharmsvgc's Indianapolis Regional 2026 Top 64 Team","","luckysharmsvgc","","","","Dragoninite","","","Choice Scarf","","","Sitrus Berry","","","Focus Sash","","","Black Glasses","","","Chople Berry","","https://pokepast.es/9cf888a5bba867c7","Yes","Owner's","✔","4P7YQ18VD8","8 Jun 2026","Indianapolis Regional 2026","35th","https://x.com/luckysharmsvgc/status/2064027286005825729?s=46","-","https://victoryroad.pro/2026-indianapolis/","luckysharmsvgc","","Dragonite-Mega","Basculegion","Pelipper","Sneasler","Kingambit","Archaludon","","",""
"PC1007","In Person Event","Andrew Block's Indianapolis Regional 2026 Top 64 Team","","Andrew Block","","","","Floettite","","","Mystic Water","","","Choice Scarf","","","Focus Sash","","","Spell Tag","","","Leftovers","","https://pokepast.es/840b4a64e3141237","Yes","Extracted","✔","3F8J5TV5GT","1 Jun 2026","Indianapolis Regional 2026","52nd","https://x.com/balakay97/status/2061211737563488456?s=46","-","https://victoryroad.pro/2026-indianapolis/","balakay97","","Floette-Eternal-Mega","Basculegion","Pelipper","Espathra","Aegislash","Archaludon","","",""
"PC1006","In Person Event","TheGoomy's Indianapolis Regional 2026 Top 64 Team","","TheGoomy","","","","Scovillainite","","","Charcoal","","","Choice Scarf","","","Colbur Berry","","","Fairy Feather","","","Leftovers","","https://pokepast.es/e956a98d72f6daca","Yes","Owner's","X","None","1 Jun 2026","Indianapolis Regional 2026","63rd","https://x.com/iamthegoomy/status/2061208183712915518?s=46","-","https://victoryroad.pro/2026-indianapolis/","iamthegoomy","","Scovillain-Mega","Incineroar","Politoed","Espathra","Sylveon","Archaludon","","",""
"PC1005","In Person Event","Dillon's Indianapolis Regional 2026 Top 128 Team","","Dillon Clark","","","","Floettite","","","Sharp Beak","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/87c3d2ef25525f04","Yes","Extracted","✔","2Y6XNRRX2G","1 Jun 2026","Indianapolis Regional 2026","85th","https://x.com/dillonchills/status/2061130718265131314?s=46","-","https://victoryroad.pro/2026-indianapolis/","dillonchills","","Floette-Eternal-Mega","Talonflame","Basculegion","Aegislash","Kingambit","Garchomp","","",""
"PC1004","In Person Event","Matt Schmucker's Indianapolis Regional 2026 Top 128 Team","","Matt Schmucker","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Leftovers","","","Occa Berry","","","Choice Scarf","","https://pokepast.es/5c72db61ac35fa8c","Yes","Extracted","✔","6A6U1P7UV9","1 Jun 2026","Indianapolis Regional 2026","99th","https://x.com/mtschmucker/status/2061237167037231311?s=46","-","https://victoryroad.pro/2026-indianapolis/","mtschmucker","","Floette-Eternal-Mega","Charizard","Incineroar","Sinistcha","Tinkaton","Garchomp","","",""
"PC1003","In Person Event","Twilite's Indianapolis Regional 2026 Top 128 Team","","Kshaunish Shaik","","","","Froslassite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Fairy Feather","","","Black Glasses","","https://pokepast.es/b1a50944ed6e3446","Yes","Extracted","✔","50FU91CL93","1 Jun 2026","Indianapolis Regional 2026","115th","https://x.com/Twilite0/status/2061183223338557616","-","https://victoryroad.pro/2026-indianapolis/","Twilite0","","Froslass-Mega","Basculegion","Kleavor","Sneasler","Whimsicott","Kingambit","","",""
"PC967","In Person Event","Zestimon's Singapore MBL 2026 Champion Team","🥇","Zestimon","","","","Glimmoranite","","I","","","","Magnet","","","Chople Berry","","","Never-Melt Ice","","","Lum Berry","","https://pokepast.es/7b29e3ac0adbc0a2","Yes","Extracted","✔","X8XJ7PDMJ2","24 May 2026","Singapore MBL 2026","Champion","https://x.com/augchari/status/2058571548978762186?s=20","-","https://victoryroad.pro/2026-singapore/","augchari","","Glimmora-Mega","Talonflame","Rotom-Wash","Kingambit","Ninetales-Alola","Garchomp","","",""
"PC966","In Person Event","husky_vgc's Singapore MBL 2026 Runner Up Team","🥈","husky_vgc","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/5ccf3041b09b5c88","Yes","Extracted","✔","B28CWAPJ20","24 May 2026","Singapore MBL 2026","Runner Up","https://x.com/husky_vgc/status/2058472025107411183?s=46","https://medium.com/@husky_vgc/%E7%B2%89%E7%B4%85%E6%98%AF%E6%9C%80%E6%BA%AB%E6%9A%96%E7%9A%84%E9%A1%94%E8%89%B2-2026%E5%B9%B4-%E5%AF%B6%E5%8F%AF%E5%A4%A2vgc%E6%96%B0%E5%8A%A0%E5%9D%A1%E4%BA%9E%E8%BB%8D%E6%97%A5%E8%A8%98-fbdaf02f007c","https://victoryroad.pro/2026-singapore/","husky_vgc","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC965","In Person Event","Harrold Khoo's Singapore MBL 2026 Top 8 Team","","Harrold Khoo","","","","Aerodactylite","","","Charizardite Y","","","Sitrus Berry","","","Black Glasses","","","Fairy Feather","","","Dragon Fang","","https://pokepast.es/5b30e3abc9a3d859","No","Extracted","X","None","24 May 2026","Singapore MBL 2026","5th","https://x.com/SkyFlyHigh5","-","https://victoryroad.pro/2026-singapore/","Manual Entry","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC964","In Person Event","Sean Tan's Singapore MBL 2026 Top 8 Team","","Sean Tan","","","","Aerodactylite","","","Scovillainite","","","Choice Scarf","","","White Herb","","","Chople Berry","","","Fairy Feather","","https://pokepast.es/9ddef999efc37b53","No","Extracted","X","None","24 May 2026","Singapore MBL 2026","6th","No Tweet","-","https://victoryroad.pro/2026-singapore/","Manual Entry","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Sneasler","Kingambit","Sylveon","","",""
"PC963","In Person Event","Tan Ying Kiat's Singapore MBL 2026 Top 16 Team","","Tan Ying Kiat","","","","Floettite","","","Charizardite X","","","Leftovers","","","Focus Sash","","","Sitrus Berry","","","Chople Berry","","https://pokepast.es/e9999f63a6638843","No","Extracted","X","None","24 May 2026","Singapore MBL 2026","13th","https://x.com/YK04vgc","-","https://victoryroad.pro/2026-singapore/","Manual Entry","","Floette-Eternal-Mega","Charizard","Incineroar","Sneasler","Sinistcha","Kingambit","","",""
"PC962","In Person Event","maggie57alt's Singapore MBL 2026 Top 32 Team","","maggie57alt","","","","Skarmorite","","","Venusaurite","","","Focus Sash","","","Roseli Berry","","","Leftovers","","","Dragon Fang","","https://pokepast.es/d2fc43559f93bb54","Yes","Owner's","X","None","24 May 2026","Singapore MBL 2026","24th","https://x.com/maggie57alt/status/2058384498715410926?s=46","-","https://victoryroad.pro/2026-singapore/","maggie57alt","","Skarmory-Mega","Venusaur-Mega","Basculegion","Sableye","Archaludon","Dragonite","","",""
"PC961","In Person Event","Crystal's Korea PTC 2026 Champion Team","🥇","Jeongso Lee","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Kasib Berry","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/55f0db71eafd0e04","Yes","Extracted","✔","CEM5K27S1W","26 May 2026","Korea PTC 2026","Champion","https://x.com/crystal_0302/status/2059214049133703449?s=46","-","https://victoryroad.pro/2026-korea/","crystal_0302","","Floette-Eternal-Mega","Charizard","Incineroar","Sinistcha","Aegislash","Garchomp","","",""
"PC960","In Person Event","Hojun Y.'s Korea PTC 2026 Champion Team (Seniors)","","Hojun Y.","","","","Aerodactylite","","","Scovillainite","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/ac6bcffb91d7bcb7","Yes","Extracted","✔","P41L3BSYRX","24 May 2026","Korea PTC 2026","Champion (Seniors)","https://x.com/dr__carrot/status/2058543287376683054?s=46","-","https://victoryroad.pro/2026-korea/","dr__carrot","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC959","In Person Event","Junhee Lee's Korea PTC 2026 Runner Up Team","🥈","Junhee Lee","","","","Floettite","","","Scizorite","","","Charcoal","","","Focus Sash","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/6523fb7a0519967b","Yes","Owner's","X","None","26 May 2026","Korea PTC 2026","Runner Up","https://x.com/YurinePTCG/status/2058900291479904391","https://www.postype.com/en/@yurineptcg/post/22354789","https://victoryroad.pro/2026-korea/","YurinePTCG","","Floette-Eternal-Mega","Scizor-Mega","Talonflame","Glimmora","Kingambit","Garchomp","","",""
"PC958","In Person Event","Sejun's Korea PTC 2026 Top 4 Team","🥉","Sejun Park","","","","Delphoxite","","","Floettite","","","Passho Berry","","","Chople Berry","","","Choice Scarf","","","Kasib Berry","","https://pokepast.es/373913926a6b124a","Yes","Extracted","✔","T7157CHUVJ","26 May 2026","Korea PTC 2026","3rd","https://x.com/pokemon_tcg/status/2059128352188022865","https://www.youtube.com/live/if-zt9thCOQ?si=TeOz2sZwxZ8n-c4a","https://victoryroad.pro/2026-korea/","pokemon_tcg","","Delphox-Mega","Floette-Eternal-Mega","Incineroar","Maushold-Four","Vivillon","Sinistcha","","",""
"PC957","In Person Event","Chanmin Lee's Korea PTC 2026 Top 4 Team","🥉","Chanmin Lee","","","","Floettite","","I","","","","Choice Scarf","","","Sharp Beak","","","Focus Sash","","","Leftovers","","https://pokepast.es/efafc7bf751f3daf","No","Extracted","X","None","26 May 2026","Korea PTC 2026","4th","https://x.com/BeeBee10222/status/2058847979562582161","-","https://victoryroad.pro/2026-korea/","BeeBee10222","","Floette-Eternal-Mega","Talonflame","Basculegion","Pelipper","Excadrill","Archaludon","","",""
"PC956","In Person Event","Nash's Korea PTC 2026 Top 8 Team","","Sanghyeon Na","","","","Floettite","","","Scizorite","","","Sitrus Berry","","","Choice Scarf","","","Occa Berry","","","Haban Berry","","https://pokepast.es/cc421003af73c7a7","Yes","Owner's","✔","TG053HKH08","26 May 2026","Korea PTC 2026","5th","https://x.com/NashVGC/status/2058907984223481945","https://www.youtube.com/watch?v=yvet5VpkBgg","https://victoryroad.pro/2026-korea/","NashVGC","","Floette-Eternal-Mega","Scizor-Mega","Incineroar","Rotom-Wash","Sinistcha-Masterpiece","Garchomp","","",""
"PC955","In Person Event","Jeongkyu Choi's Korea PTC 2026 Top 8 Team","","Jeongkyu Choi","","","","Floettite","","","Tyranitarite","","","Chople Berry","","","Magnet","","","Focus Sash","","","Sitrus Berry","","https://pokepast.es/607fac8a40ab96de","No","Extracted","X","None","26 May 2026","Korea PTC 2026","6th","https://x.com/RegularChoi/status/2058879107329654946","-","https://victoryroad.pro/2026-korea/","RegularChoi","","Floette-Eternal-Mega","Tyranitar-Mega","Incineroar","Rotom-Wash","Excadrill","Sinistcha","","",""
"PC954","In Person Event","Suhyeon Moon's Korea PTC 2026 Top 8 Team","","Suhyeon Moon","","","","Scovillainite","","","Tyranitarite","","","Choice Scarf","","","Focus Sash","","","Leftovers","","","Fairy Feather","","https://pokepast.es/0ae1d22d33bb9b7c","No","Extracted","X","None","26 May 2026","Korea PTC 2026","7th","https://x.com/Moon_Jacki_/status/2058890509075235025","-","https://victoryroad.pro/2026-korea/","Moon_Jacki_","","Scovillain-Mega","Tyranitar-Mega","Basculegion","Excadrill","Corviknight","Sylveon","","",""
"PC953","In Person Event","MeLuCa's Korea PTC 2026 Top 8 Team","","Jiseok Lee","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/65c44360797a1793","No","Extracted","X","None","26 May 2026","Korea PTC 2026","8th","https://x.com/MeLuCaVGC/status/2058860252431622481","-","https://victoryroad.pro/2026-korea/","MeLuCaVGC","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC952","In Person Event","Juyoung Hong's Korea PTC 2026 Top 16 Team","","Juyoung Hong","","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Black Glasses","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/d10495c4149f2e85","No","Extracted","X","None","26 May 2026","Korea PTC 2026","9th","https://x.com/kongju_02","-","https://victoryroad.pro/2026-korea/","Manual Entry","","Charizard","Aerodactyl","Farigiraf","Kingambit","Sylveon","Garchomp","","",""
"PC951","In Person Event","Minseok Kim's Korea PTC 2026 Top 16 Team","","Minseok Kim","","","","Floettite","","","Tyranitarite","","","Chople Berry","","","Magnet","","","Focus Sash","","","Sitrus Berry","","https://pokepast.es/6756755fd9722f90","No","Extracted","X","None","26 May 2026","Korea PTC 2026","10th","https://x.com/Whairing/status/2058850149682847765","-","https://victoryroad.pro/2026-korea/","Whairing","","Floette-Eternal-Mega","Tyranitar-Mega","Incineroar","Rotom-Wash","Excadrill","Sinistcha","","",""
"PC950","In Person Event","Seongmo Byeon's Korea PTC 2026 Top 16 Team","","Seongmo Byeon","","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Black Glasses","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/db0e4a4a0d3542cf","No","Extracted","X","None","26 May 2026","Korea PTC 2026","11th","https://x.com/soungrull/status/2059632741776597329","-","https://victoryroad.pro/2026-korea/","soungrull","","Charizard","Aerodactyl","Farigiraf","Kingambit","Sylveon","Garchomp","","",""
"PC949","In Person Event","Yoonho Park's Korea PTC 2026 Top 16 Team","","Yoonho Park","","","","Blastoisinite","","","Kangaskhanite","","","Charcoal","","","Focus Sash","","","Choice Scarf","","","Sitrus Berry","","https://pokepast.es/ca336ecfb67d1572","No","Extracted","X","None","26 May 2026","Korea PTC 2026","12th","https://x.com/PYH_VGC/status/2058810256608911502","-","https://victoryroad.pro/2026-korea/","PYH_VGC","","Blastoise-Mega","Kangaskhan-Mega","Torkoal","Basculegion","Vivillon","Farigiraf","","",""
"PC948","In Person Event","FlozelVGC's Korea PTC 2026 Top 16 Team","","Jinho Park","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/79ef66af6353d30a","No","Extracted","X","None","26 May 2026","Korea PTC 2026","13th","https://x.com/FlozelVGC/status/2058885349158604903","-","https://victoryroad.pro/2026-korea/","FlozelVGC","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC947","In Person Event","Seongjae's Korea PTC 2026 Top 16 Team","","Seongjae Jeong","","","","Aerodactylite","","","Charizardite Y","","","Sitrus Berry","","","Focus Sash","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/613e756dc92de4f7","Yes","Extracted","✔","GM9PL3P2Q3","26 May 2026","Korea PTC 2026","14th","https://x.com/nicky030526/status/2059255539344040289?s=46","https://m.blog.naver.com/nicky030526/224297256254","https://victoryroad.pro/2026-korea/","nicky030526","","Aerodactyl-Mega","Charizard","Farigiraf","Kingambit","Sylveon","Garchomp","","",""
"PC946","In Person Event","Sangwoo Kim's Korea PTC 2026 Top 16 Team","","Sangwoo Kim","","","","Blastoisinite","","","Focus Sash","","","White Herb","","","Colbur Berry","","","Black Glasses","","","Metal Coat","","https://pokepast.es/b48a163e5636e98f","No","Extracted","X","None","26 May 2026","Korea PTC 2026","15th","https://x.com/kimkomsu/status/2059499744968454426","-","https://victoryroad.pro/2026-korea/","kimkomsu","","Blastoise-Mega","Aerodactyl","Sneasler","Sinistcha","Kingambit","Scizor","","",""
"PC945","In Person Event","Junhyuk Song's Korea PTC 2026 Top 16 Team","","Junhyuk Song","","","","Floettite","","","Mystic Water","","","Focus Sash","","","Leftovers","","","Sitrus Berry","","","Chople Berry","","https://pokepast.es/455ff5a332e15b73","No","Extracted","X","None","26 May 2026","Korea PTC 2026","16th","https://x.com/dizvgc/status/2059266719273926918","-","https://victoryroad.pro/2026-korea/","dizvgc","","Floette-Eternal-Mega","Basculegion","Glimmora","Snorlax","Whimsicott","Kingambit","","",""
"PC891","In Person Event","jit_vgc's Thailand MBL 2026 Champion Team","🥇","jit_vgc","","","","Aerodactylite","","","Venusaurite","","","Chople Berry","","","Focus Sash","","","Fairy Feather","","","Leftovers","","https://pokepast.es/746482209b25aa1a","Yes","Extracted","✔","MAN8D9L108","17 May 2026","Thailand MBL 2026","Champion","https://x.com/jit_vgc/status/2056024899626606730?s=46","-","https://victoryroad.pro/2026-thailand/","jit_vgc","","Aerodactyl-Mega","Venusaur-Mega","Incineroar","Basculegion","Sylveon","Kommo-o","","",""
"PC890","In Person Event","ptr_vgc's Thailand MBL 2026 Runner Up Team","🥈","ptr_vgc","","","","Floettite","","","Gengarite","","","Sitrus Berry","","","Focus Sash","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/de2397783eaa94f6","Yes","Extracted","✔","NLNDPK9F57","18 May 2026","Thailand MBL 2026","Runner Up","https://x.com/ptr_vgc/status/2056285117040246932?s=46","-","https://victoryroad.pro/2026-thailand/","ptr_vgc","","Floette-Eternal-Mega","Gengar-Mega","Incineroar","Basculegion","Kingambit","Dragonite","","",""
"PC889","In Person Event","Amazemaker and Rizaya_c's Thailand MBL 2026 Top 4 & Top 8 Team","","Jong Dae-Jung","","","","Floettite","","","Chople Berry","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Sitrus Berry","","https://pokepast.es/f334e73529448000","Yes","Extracted","✔","9MA93FH21U","20 May 2026","Thailand MBL 2026","3rd & 6th","https://x.com/amazemaker/status/2056918106187124807?s=46","-","https://victoryroad.pro/2026-thailand/","amazemaker","","Floette-Eternal-Mega","Incineroar","Basculegion","Pelipper","Sneasler","Sinistcha","","",""
"PC888","In Person Event","Iain Waddingham's Thailand MBL 2026 Top 4 Team","🥉","Iain Waddingham","","","","Tyranitarite","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","","Soft Sand","","https://pokepast.es/81e14d09dcb5b5c1","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","4th","No Tweet","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Tyranitar-Mega","Charizard","Whimsicott","Farigiraf","Sylveon","Garchomp","","",""
"PC887","In Person Event","MyStars' Thailand MBL 2026 Top 8 Team","","Narawitch Naenna","","","","Floettite","","","Charizardite X","","","Leftovers","","","Focus Sash","","","Sitrus Berry","","","Chople Berry","","https://pokepast.es/30e96a4ea1fd0477","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","5th","https://x.com/Mystarseiei/status/2055900289585303852","-","https://victoryroad.pro/2026-thailand/","Mystarseiei","","Floette-Eternal-Mega","Charizard","Incineroar","Sneasler","Sinistcha","Kingambit","","",""
"PC886","In Person Event","RLiZT's Thailand MBL 2026 Top 8 Team","","Sahapol Meechunuke","","","","Scovillainite","","","Tyranitarite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Leftovers","","https://pokepast.es/b222c7d191b9fff8","Yes","Extracted","✔","9B9JRASCQJ","19 May 2026","Thailand MBL 2026","7th","https://x.com/RLiZT_Sahapol/status/2056636229991661711?s=20","-","https://victoryroad.pro/2026-thailand/","RLiZT_Sahapol","","Scovillain-Mega","Tyranitar-Mega","Basculegion","Excadrill","Sneasler","Corviknight","","",""
"PC885","In Person Event","Apiwat Srivilairith's Thailand MBL 2026 Top 8 Team","","Apiwat Srivilairith","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/8600f41e0f83e3ef","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","8th","No Tweet","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Floette-Eternal-Mega","Charizard","Basculegion","Aerodactyl","Kingambit","Garchomp","","",""
"PC884","In Person Event","Nattawarn Emasiti's Thailand MBL 2026 Top 16 Team","","Nattawarn Emasiti","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/dddbc50da5ceda31","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","9th","https://x.com/folkey7","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC883","In Person Event","Amorn Mongkhonkaewsakun's Thailand MBL 2026 Top 16 Team","","Amorn Mongkhonkaewsakun","","","","Scovillainite","","","Sitrus Berry","","","Colbur Berry","","","Kasib Berry","","","Fairy Feather","","","Leftovers","","https://pokepast.es/10d64d03d935aff0","Yes","Extracted","✔","YWYMQ5RWUF","17 May 2026","Thailand MBL 2026","10th","No Tweet","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Scovillain-Mega","Pelipper","Espathra","Sinistcha","Sylveon","Archaludon","","",""
"PC882","In Person Event","boomngong's Thailand MBL 2026 Top 16 Team","","Nattanon Wongwiwatchai","","","","Blastoisinite","","","Floettite","","","White Herb","","","Focus Sash","","","Chople Berry","","","Bright Powder","","https://pokepast.es/effce40f2b58ef0d","Yes","Extracted","✔","A0B5K2VVSH","17 May 2026","Thailand MBL 2026","11th","https://x.com/boomngong/status/2057144785157452246?s=46","-","https://victoryroad.pro/2026-thailand/","boomngong","","Blastoise-Mega","Floette-Eternal-Mega","Sneasler","Whimsicott","Kingambit","Altaria","","",""
"PC881","In Person Event","Jirayut Chokplodkrow's Thailand MBL 2026 Top 16 Team","","Jirayut Chokplodkrow","","","","Blastoisinite","","","Charcoal","","","Focus Sash","","","Silk Scarf","","","Choice Scarf","","","Sitrus Berry","","https://pokepast.es/b8dfb3c74943e0dd","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","12th","https://x.com/PST_822","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Blastoise-Mega","Torkoal","Basculegion","Kangaskhan","Vivillon","Farigiraf","","",""
"PC880","In Person Event","Teerapat Supasdetch's Thailand MBL 2026 Top 16 Team","","Teerapat Supasdetch","","","","Blastoisinite","","","Charcoal","","","Focus Sash","","","Silk Scarf","","","Choice Scarf","","","Sitrus Berry","","https://pokepast.es/c66cbc26b45264c7","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","13th","https://x.com/ArtefyCCG","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Blastoise-Mega","Torkoal","Basculegion","Kangaskhan","Vivillon","Farigiraf","","",""
"PC879","In Person Event","Jagkaphan Phimpathong's Thailand MBL 2026 Top 16 Team","","Jagkaphan Phimpathong","","","","Charizardite Y","","","Chople Berry","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","","Lum Berry","","https://pokepast.es/7f03cd2c426c3937","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","14th","No Tweet","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Charizard","Incineroar","Aerodactyl","Farigiraf","Sylveon","Garchomp","","",""
"PC878","In Person Event","Natdanai Viengsima's Thailand MBL 2026 Top 16 Team","","Natdanai Viengsima","","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Colbur Berry","","","Sitrus Berry","","https://pokepast.es/0ab5fb669e56db37","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","15th","https://x.com/falafirst_vgc","-","https://victoryroad.pro/2026-thailand/","Manual Entry","","Charizard","Basculegion","Aerodactyl","Sneasler","Farigiraf","Garchomp","","",""
"PC877","In Person Event","Dujpetch Trakarnratanakul's Thailand MBL 2026 Top 16 Team","","Dujpetch Trakarnratanakul","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Sitrus Berry","","","Chople Berry","","","White Herb","","https://pokepast.es/fd8b964dfe60b197","No","Extracted","X","None","17 May 2026","Thailand MBL 2026","16th","https://x.com/Dujpetchzz/status/2056013744170562035","-","https://victoryroad.pro/2026-thailand/","Dujpetchzz","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC778","In Person Event","Sow Wei Harng's Malaysia MBL 2026 Champion Team","🥇","Sow Wei Harng","","","","Aerodactylite","","","Floettite","","","Kasib Berry","","","Focus Sash","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/ae516ffce0fe7251","Yes","Extracted","✔","VBTU7EP7BH","10 May 2026","Malaysia MBL 2026","Champion","https://x.com/KizVgc/status/2053492001132413215","-","https://victoryroad.pro/2026-malaysia/","KizVgc","","Aerodactyl-Mega","Floette-Eternal-Mega","Basculegion","Sneasler","Kingambit","Garchomp","","",""
"PC777","In Person Event","Ng Chee Woon's Malaysia MBL 2026 Runner Up Team","🥈","Ng Chee Woon","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","White Herb","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/74188f8d84d87245","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","Runner Up","No Tweet","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Floette-Eternal-Mega","Charizard","Aerodactyl","Sneasler","Kingambit","Garchomp","","",""
"PC776","In Person Event","Jeremiah Lim's Malaysia MBL 2026 Top 4 Team","🥉","Jeremiah Lim","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/686441b0f9ab2133","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","3rd","No Tweet","-","https://victoryroad.pro/2026-malaysia/","Manual Entry","","Floette-Eternal-Mega","Charizard","Basculegion","Aerodactyl","Kingambit","Garchomp","","",""
"PC775","In Person Event","Gary Ng's Malaysia MBL 2026 Top 4 Team","🥉","Gary Ng","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","White Herb","","https://pokepast.es/67fbb265d6e26098","No","Extracted","X","None","10 May 2026","Malaysia MBL 2026","4th","https://x.com/GaryNgYJ/status/2053500102761918918","-","https://victoryroad.pro/2026-malaysia/","GaryNgYJ","","Floette-Eternal-Mega","Charizard","Basculegion","Aerodactyl","Kingambit","Garchomp","","",""
